collectioncode,catalognumber,scientificname,commonname,datelastmodified,detectedby,receiver_group,station,receiver,bottom_depth,receiver_depth,tagname,codespace,sensorname,sensorraw,sensortype,sensorvalue,sensorunit,datecollected,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday,local_area,notes,citation,unqdetecid,contact_poc,contact_pi
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23317,,,,,,,2019-07-26 14:29:00,UTC,-81.28957,29.90742,0101000020E610000000000060885254C0FCFFFF9F4CE83D40,2019,7,26,207,14.4833333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303730-2019-07-26-release-A69-1602-23317,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,9MRN,130748,21.3,20.3,A69-1602-23317,A69-1602,,,pinger,,,2019-12-31 14:30:32,UTC,-81.12165,29.91253,0101000020E6100000BDE3141DC94754C06F9EEA909BE93D40,2019,12,31,365,14.5088888888889,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23317-23829594,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,9MRN,130748,21.3,20.3,A69-1602-23317,A69-1602,,,pinger,,,2019-12-31 14:31:42,UTC,-81.12165,29.91253,0101000020E6100000BDE3141DC94754C06F9EEA909BE93D40,2019,12,31,365,14.5283333333333,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23317-23808849,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,9MRN,130748,21.3,20.3,A69-1602-23317,A69-1602,,,pinger,,,2019-12-31 14:32:40,UTC,-81.12165,29.91253,0101000020E6100000BDE3141DC94754C06F9EEA909BE93D40,2019,12,31,365,14.5444444444444,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23317-23843482,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,9MRN,130748,21.3,20.3,A69-1602-23317,A69-1602,,,pinger,,,2019-12-31 14:33:51,UTC,-81.12165,29.91253,0101000020E6100000BDE3141DC94754C06F9EEA909BE93D40,2019,12,31,365,14.5641666666667,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23317-23815939,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,9MRN,130748,21.3,20.3,A69-1602-23317,A69-1602,,,pinger,,,2019-12-31 14:34:49,UTC,-81.12165,29.91253,0101000020E6100000BDE3141DC94754C06F9EEA909BE93D40,2019,12,31,365,14.5802777777778,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23317-23822661,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303731-2019-08-01,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23318,,,,,,,2019-08-01 18:20:00,UTC,-81.28592,29.90833,0101000020E6100000FEFFFF7F4C5254C00000006088E83D40,2019,8,1,213,18.3333333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303731-2019-08-01-release-A69-1602-23318,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303731-2019-08-01,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,CCOVE,134181,4.878048780487805,3.6585365853658534,A69-1602-23318,A69-1602,,,pinger,,,2019-08-11 00:15:36,UTC,-81.30473,29.91791,0101000020E61000000C0742B2805354C0DEAB5626FCEA3D40,2019,8,11,223,0.26,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23318-481,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303732-2019-08-23,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23319,,,,,,,2019-08-23 14:57:00,UTC,-81.28715,29.91460,0101000020E6100000030000A0605254C00D00004023EA3D40,2019,8,23,235,14.95,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303732-2019-08-23-release-A69-1602-23319,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23320,,,,,,,2019-07-16 20:00:00,UTC,-81.28812,29.90785,0101000020E6100000FEFFFF7F705254C0F8FFFFDF68E83D40,2019,7,16,197,20,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303733-2019-07-16-release-A69-1602-23320,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
