receiver_name,receiver_number,receiver_type,station_name,lat,long,receiver_owner
Camachee Cove,134181,VR2W,Ccove,29.917913,-81.304729,WHITR
JB's,134178,VR2W,Jbdock,29.92045,-81.30065,WHITR
FOMA VC,134179,VR2W,FOMAVC2,29.714533,-81.235029,WHITR
LizDock2,110590,VR2W,LizDock,29.7034056,-81.228911,WHITR
Dr. Grimes,134177,VR2W,DrGrim,29.889164,-81.302749,WHITR
Carla,422814,VR2Tx,CarlasD,29.9560722,-81.31388056,WHITR
Tolomato 54 ATON,127313,VR2W,ATON54,29.9432222,-81.3115194,WHITR
Salt Run Daymarker 2,132964,VR2W,Salt02,29.9044444,-81.295,WHITR
Salt Run Daymaker 14,114738,VR2W,Salt14,29.8916667,-81.29083333,WHITR
Matanzas ATON 10,132776,VR2W,ATON10,29.8878944,-81.30414166,WHITR
Matanzas ATON 15,132939,VR2W,ATON15,29.861,-81.308533,WHITR
Matanzas ATON 2A,132960,VR2W,ATON2A,29.90485,-81.29959,WHITR
Matanzas ATON 108,132963,VR2W,ATON108,29.621451,-81.208493,WHITR
Matanzas ATON 60,132780,VR2W,ATON60,29.765492,-81.2562,WHITR
Tolomato ATON 25,132777,VR2W,PINE25,30.05085,-81.367483,WHITR
4MIR,127651,VR2W,4MIR,29.9237,-81.2081,TEQ
9MRN,130748,VR2W,9MRN,29.91253,-81.12165,TEQ
9MRS,134309,VR2W,9MRS,29.87211,-81.13337,TEQ
AKING,108056,VR2W,AKING,29.87642,-81.15342,TEQ
BARG,132746,VR2W,BARG,29.8928,-80.97563,TEQ
BN00,483612,VR2W,BN00,31.05851,-81.11678,GACRA
BN01,483618,VR2W,BN01,31.06919,-81.13619,GACRA
BN02,483606,VR2W,BN02,31.07572,-81.15396,GACRA
BNOS05,483603,VR2W,BNOS05,30.98779,-80.99249,GACRA
BNOS06,483604,VR2W,BNOS06,30.99129,-81.01077,GACRA
BNOS08,483615,VR2W,BNOS08,30.99824,-81.03706,GACRA
BNOS10,483609,VR2W,BNOS10,31.01449,-81.06711,GACRA
ST40,481750,VR2W,ST40,46.83054,-71.19672,OTN
PWRN,108953,VR2W,PWRN,29.94147,-81.09773,TEQ
DESCO,130749,VR2W,DESCO,29.88723,-81.01717,TEQ
BNOS09,483613,VR2W,BNOS09,31.00434,-81.04882,GACRA
BNOS07,483607,VR2W,BNOS07,30.99339,-81.02634,GACRA
BN05,483601,VR2W,BN05,31.09681,-81.20782,GACRA
BN03,483614,VR2W,BN03,31.08409,-81.17211,GACRA
DOLO,107817,VR2W,DOLO,29.93855,-80.95828,TEQ
INTDR,134318,VR2W,INTDR,29.90312,-80.80028,TEQ
9MI,134375,VR2W,9MI,30.39387,-81.17184,JUNEFL
MOODY,103638,VR2W,MOODY,29.98362,-80.8511,TEQ
DTSAUG,134177,VR2W,DTSAUG,29.8921,-81.30797,WHITR
TYRF,134301,VR2W,TYRF,29.9273,-80.84533,TEQ
LRTUG,131107,VR2W,LRTUG,29.90288,-81.15123,TEQ
