collectioncode,catalognumber,scientificname,commonname,datelastmodified,detectedby,receiver_group,station,receiver,bottom_depth,receiver_depth,tagname,codespace,sensorname,sensorraw,sensortype,sensorvalue,sensorunit,datecollected,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday,local_area,notes,citation,unqdetecid,contact_poc,contact_pi
WHITT,WHITT-1303730-2019-07-26,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23317,,,,,,,2019-07-26 14:29:00,UTC,-81.28957,29.90742,0101000020E610000000000060885254C0FCFFFF9F4CE83D40,2019,7,26,207,14.4833333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303730-2019-07-26-release-A69-1602-23317,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303731-2019-08-01,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23318,,,,,,,2019-08-01 18:20:00,UTC,-81.28592,29.90833,0101000020E6100000FEFFFF7F4C5254C00000006088E83D40,2019,8,1,213,18.3333333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303731-2019-08-01-release-A69-1602-23318,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303732-2019-08-23,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23319,,,,,,,2019-08-23 14:57:00,UTC,-81.28715,29.91460,0101000020E6100000030000A0605254C00D00004023EA3D40,2019,8,23,235,14.95,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303732-2019-08-23-release-A69-1602-23319,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23320,,,,,,,2019-07-16 20:00:00,UTC,-81.28812,29.90785,0101000020E6100000FEFFFF7F705254C0F8FFFFDF68E83D40,2019,7,16,197,20,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303733-2019-07-16-release-A69-1602-23320,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23321,,,,,,,2019-07-24 13:45:00,UTC,-81.28928,29.90735,0101000020E6100000000000A0835254C0F7FFFF1F48E83D40,2019,7,24,205,13.75,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303734-2019-07-24-release-A69-1602-23321,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303735-2019-08-26,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23322,,,,,,,2019-08-26 15:20:00,UTC,-81.29156,29.90692,0101000020E6100000FFFFFFDFA85254C0FBFFFFDF2BE83D40,2019,8,26,238,15.3333333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303735-2019-08-26-release-A69-1602-23322,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303736-2019-09-24,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,,release,,,A69-1602-23323,,,,,,,2019-09-24 15:15:00,UTC,-81.29211,29.90675,0101000020E6100000020000E0B15254C0010000C020E83D40,2019,9,24,267,15.25,,,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303736-2019-09-24-release-A69-1602-23323,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303737-2019-08-26,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23324,,,,,,,2019-08-26 16:02:00,UTC,-81.29156,29.90692,0101000020E6100000FFFFFFDFA85254C0FBFFFFDF2BE83D40,2019,8,26,238,16.0333333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303737-2019-08-26-release-A69-1602-23324,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303738-2019-08-26,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23325,,,,,,,2019-08-26 15:41:00,UTC,-81.29156,29.90692,0101000020E6100000FFFFFFDFA85254C0FBFFFFDF2BE83D40,2019,8,26,238,15.6833333333333,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303738-2019-08-26-release-A69-1602-23325,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303739-2019-08-28,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23326,,,,,,,2019-08-28 18:42:00,UTC,-81.29295,29.90660,0101000020E6100000FDFFFFBFBF5254C0F5FFFFFF16E83D40,2019,8,28,240,18.7,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303739-2019-08-28-release-A69-1602-23326,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
